SiteID;CoreID;Ecosystem;Specie;Min.D;Max.D;Age;DBD;OM;OC;Centro;h;POC
Santa Maria;SM10;Seagrass;Posidonia oceanica;45.21146768;46.59350705;130;0.931866302;5.530045917;1.6143125;45.90248737;2.797204965;0.042079009
Santa Maria;SM10;Seagrass;Posidonia oceanica;47.95983306;49.311092;140.8;0.959583721;5.350772889;1.3184831;48.63546253;2.732975165;0.034577463
Santa Maria;SM10;Seagrass;Posidonia oceanica;50.64790358;51.97086203;153.85;1.092580081;4.669612372;1.3681657;51.30938281;2.673920275;0.039970578
Santa Maria;SM10;Seagrass;Posidonia oceanica;53.28053713;54.57747522;164.9;1.090942668;4.506582108;1.5865976;53.92900618;2.61962337;0.045342721
Santa Maria;SM10;Seagrass;Posidonia oceanica;55.86220018;57.13521435;175.95;1.276555631;4.501413;1.1620185;56.49870727;2.56970109;0.038118464
Santa Maria;SM10;Seagrass;Posidonia oceanica;58.39699938;59.64801713;187.0666667;1.144958324;4.223978148;0.849934;59.02250826;2.52380099;0.024560092
Santa Maria;SM10;Seagrass;Posidonia oceanica;60.88871047;62.11950404;198.8;1.234096987;4.480483782;0.9377038;61.50410726;2.481599;0.028717496
Santa Maria;SM10;Seagrass;Posidonia oceanica;65.75647488;66.95157711;223.75;1.356188805;4.248366013;0.6831591;66.354026;4.84991874;0.044934144
Santa Maria;SM10;Seagrass;Posidonia oceanica;68.13865474;69.31803783;234.3;1.337074519;4.212508673;0.6854347;68.72834629;2.37432029;0.021760106
Santa Maria;SM10;Seagrass;Posidonia oceanica;70.49004285;71.65497327;247.5;1.184959784;4.004372019;0.6132432;71.07250806;2.344161775;0.017034286
Santa Maria;SM10;Seagrass;Posidonia oceanica;72.81312006;73.96476224;261;1.136205465;3.938270368;0.6139793;73.38894115;2.31643309;0.016159591
Santa Maria;SM10;Seagrass;Posidonia oceanica;75.11016735;76.24959191;271.8;1.2689599;3.685152057;0.6298975;75.67987963;2.29093848;0.018311807
