SiteID;CoreID;Ecosystem;Specie;Min.D;Max.D;Age;DBD;OM;OC
Santa Maria;SM10;Seagrass;Posidonia oceanica;119.9191249;120.9430164;537.15;1.582741949;4.102306921;0.6027541
Santa Maria;SM10;Seagrass;Posidonia oceanica;120.9430164;121.9659252;543.5;1.437388176;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;121.9659252;122.9878918;549.95;1.460977018;4.043545879;0.5110729
Santa Maria;SM10;Seagrass;Posidonia oceanica;122.9878918;124.008955;556.4;1.411501275;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;124.008955;125.0291518;562.8;1.592459611;3.826606876;0.6792788
Santa Maria;SM10;Seagrass;Posidonia oceanica;125.0291518;126.0485179;569.05;1.19031156;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;126.0485179;127.0670874;575.1;1.361813406;3.621574513;0.5675382
Santa Maria;SM10;Seagrass;Posidonia oceanica;127.0670874;128.0848932;581.15;1.529152076;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;128.0848932;129.1019666;587.25;1.536912864;3.795162433;0.5502528
Santa Maria;SM10;Seagrass;Posidonia oceanica;129.1019666;130.1183378;593.35;1.668607388;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;130.1183378;131.1340357;599.25;1.368104473;3.565961279;0.596889
Santa Maria;SM10;Seagrass;Posidonia oceanica;131.1340357;132.1490879;605;1.65227938;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;132.1490879;133.163521;610.75;1.517328741;3.220322977;0.6560685
Santa Maria;SM10;Seagrass;Posidonia oceanica;133.163521;134.1773604;616.5;1.338312469;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;134.1773604;135.1906307;622.25;1.470209309;3.220799379;0.4991356
Santa Maria;SM10;Seagrass;Posidonia oceanica;135.1906307;136.2033551;627.95;1.471954224;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;136.2033551;137.2155562;633.7;1.56468859;3.685300207;0.637148
Santa Maria;SM10;Seagrass;Posidonia oceanica;137.2155562;138.2272554;639.5;1.363797198;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;138.2272554;139.2384734;645.3;1.649548196;1.984047856;0.5985198
Santa Maria;SM10;Seagrass;Posidonia oceanica;139.2384734;140.2492301;651.15;1.536748129;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;140.2492301;141.2595443;656.95;1.319198991;2.019417476;0.5522506
Santa Maria;SM10;Seagrass;Posidonia oceanica;141.2595443;142.2694343;662.65;1.550197162;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;142.2694343;143.2789175;668.35;1.290995179;2.395977125;0.5579453
Santa Maria;SM10;Seagrass;Posidonia oceanica;143.2789175;144.2880107;674;1.194067151;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;144.2880107;145.2967299;679.65;1.628111949;2.291528002;0.4825189
Santa Maria;SM10;Seagrass;Posidonia oceanica;145.2967299;146.3050904;685.4;1.324146579;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;146.3050904;147.3131071;691.15;1.28961141;2.40858118;
Santa Maria;SM10;Seagrass;Posidonia oceanica;147.3131071;148.320794;696.85;1.30230339;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;148.320794;149.3281648;702.55;1.641360331;2.849575304;
Santa Maria;SM10;Seagrass;Posidonia oceanica;149.3281648;150.3352324;708.25;1.526046864;2.702966432;0.3791914
Santa Maria;SM10;Seagrass;Posidonia oceanica;150.3352324;151.3420094;713.95;1.626539256;2.860871311;0.4714569
Santa Maria;SM10;Seagrass;Posidonia oceanica;151.3420094;152.3485075;719.65;1.299183302;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;152.3485075;153.3547385;725.35;1.383749014;2.462496462;0.4410213
Santa Maria;SM10;Seagrass;Posidonia oceanica;153.3547385;154.3607131;731.05;1.112840998;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;154.3607131;155.366442;736.8;1.112365167;2.621974645;
Santa Maria;SM10;Seagrass;Posidonia oceanica;155.366442;156.3719353;742.85;1.045937513;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;156.3719353;157.3772026;749.15;1.723116601;2.894791451;0.4601588
Santa Maria;SM10;Seagrass;Posidonia oceanica;157.3772026;158.3822533;755.5;1.268993398;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;158.3822533;159.3870962;761.85;1.30150921;3.298907049;0.4876491
Santa Maria;SM10;Seagrass;Posidonia oceanica;159.3870962;160.39174;768.15;0.743293242;;
Santa Maria;SM10;Seagrass;Posidonia oceanica;160.39174;161.3961927;774.5;1.219374809;2.154280339;0.509570867
Santa Maria;SM15;Seagrass;Posidonia oceanica;0;0.805073204;0.75;0.5231699;11.58865666;3.9959033
Santa Maria;SM15;Seagrass;Posidonia oceanica;0.805073204;3.009866141;1.8;0.154721445;6.359077232;2.1461337
Santa Maria;SM15;Seagrass;Posidonia oceanica;3.009866141;5.15704724;3.133333333;0.321032378;8.253397282;2.2415445
Santa Maria;SM15;Seagrass;Posidonia oceanica;5.15704724;7.249371436;4.6;0.271753007;4.927536232;1.4897443
Santa Maria;SM15;Seagrass;Posidonia oceanica;7.249371436;9.289461922;6.133333333;0.154125857;5.14829878;1.4606901
Santa Maria;SM15;Seagrass;Posidonia oceanica;9.289461922;11.27981646;7.7;0.28769866;4.249485949;1.4515293
Santa Maria;SM15;Seagrass;Posidonia oceanica;11.27981646;13.22281336;9.266666667;0.385539489;5.182591296;1.2031441
Santa Maria;SM15;Seagrass;Posidonia oceanica;13.22281336;15.12071721;10.8;0.452373683;2.339925592;1.1049352
Santa Maria;SM15;Seagrass;Posidonia oceanica;15.12071721;16.97568431;12.73333333;0.422593755;5.329467053;0.9898668
Santa Maria;SM15;Seagrass;Posidonia oceanica;16.97568431;18.78976786;15;0.467483994;3.145440554;1.4848525
Santa Maria;SM15;Seagrass;Posidonia oceanica;18.78976786;20.56492285;17.66666667;0.506867242;3.749759013;1.8493162
Santa Maria;SM15;Seagrass;Posidonia oceanica;20.56492285;22.3030108;20.8;0.372466488;9.259259259;2.8293168
Santa Maria;SM15;Seagrass;Posidonia oceanica;22.3030108;24.00580422;24.4;0.680071837;3.820202421;1.0440733
Santa Maria;SM15;Seagrass;Posidonia oceanica;24.00580422;25.67499085;29.33333333;0.544033254;3.509644064;1.3758508
Santa Maria;SM15;Seagrass;Posidonia oceanica;25.67499085;27.31217774;33.45;0.644481812;4.049067518;1.3832523
Santa Maria;SM15;Seagrass;Posidonia oceanica;27.31217774;28.91889506;37.73333333;0.636650315;4.260552986;1.8703604
Santa Maria;SM15;Seagrass;Posidonia oceanica;28.91889506;30.49659985;42;0.667778472;3.321250122;2.0091587
Santa Maria;SM15;Seagrass;Posidonia oceanica;30.49659985;32.04667945;46.76666667;0.656371122;3.827037773;1.4967582
Santa Maria;SM15;Seagrass;Posidonia oceanica;32.04667945;33.57045487;53.43333333;0.634403036;4.110135674;1.7297122
Santa Maria;SM15;Seagrass;Posidonia oceanica;33.57045487;35.06918393;58.45;0.627760663;3.632754342;1.3876928
Santa Maria;SM15;Seagrass;Posidonia oceanica;35.06918393;36.54406434;65.7;0.689372279;;
Santa Maria;SM15;Seagrass;Posidonia oceanica;36.54406434;37.9962365;74.1;0.663725807;2.907662083;1.3424288
Santa Maria;SM15;Seagrass;Posidonia oceanica;37.9962365;39.4267863;79.7;0.799235931;;
Santa Maria;SM15;Seagrass;Posidonia oceanica;39.4267863;40.83674769;90.63333333;0.769138818;3.058314485;1.3484456
Santa Maria;SM15;Seagrass;Posidonia oceanica;40.83674769;42.2271052;107.95;0.904373403;;
Santa Maria;SM15;Seagrass;Posidonia oceanica;42.2271052;43.59879624;127.8;0.832788796;3.047751415;1.3788727
Santa Maria;SM15;Seagrass;Posidonia oceanica;43.59879624;44.95271345;147.65;0.642614911;;
Santa Maria;SM15;Seagrass;Posidonia oceanica;44.95271345;46.28970673;160.65;1.016704255;3.105184633;1.3037235
Santa Maria;SM15;Seagrass;Posidonia oceanica;46.28970673;47.61058537;179.4333333;0.856558605;;
Santa Maria;SM15;Seagrass;Posidonia oceanica;47.61058537;48.91611996;198.1;0.805527577;3.016481808;1.2364445
Santa Maria;SM15;Seagrass;Posidonia oceanica;48.91611996;50.20704423;210.55;0.923558411;;
Santa Maria;SM15;Seagrass;Posidonia oceanica;50.20704423;51.48405683;222.45;0.784786911;3.44489155;1.2940051
Santa Maria;SM15;Seagrass;Posidonia oceanica;51.48405683;52.747823;239.4;0.860508661;;
Santa Maria;SM15;Seagrass;Posidonia oceanica;52.747823;53.99897617;256.3;1.012679;2.662804821;1.1224635
Santa Maria;SM15;Seagrass;Posidonia oceanica;53.99897617;55.23811948;267.25;0.823114144;;
Santa Maria;SM15;Seagrass;Posidonia oceanica;55.23811948;56.46582723;281.85;1.296763852;3.176188574;1.2111321
Santa Maria;SM15;Seagrass;Posidonia oceanica;56.46582723;57.68264625;309.6;0.897261152;;
Santa Maria;SM15;Seagrass;Posidonia oceanica;57.68264625;58.88909723;337.1;0.846918711;0.76;1.4483447
Santa Maria;SM15;Seagrass;Posidonia oceanica;58.88909723;60.08567596;355.05;0.956038221;;
Santa Maria;SM15;Seagrass;Posidonia oceanica;60.08567596;61.27285451;385.9;0.808853031;3.405000486;1.3275855
Santa Maria;SM15;Seagrass;Posidonia oceanica;61.27285451;62.4510824;429.8;0.689059765;;
Santa Maria;SM15;Seagrass;Posidonia oceanica;62.4510824;63.62078763;495;0.818220017;2.790029747;1.3698473
Santa Maria;SM15;Seagrass;Posidonia oceanica;63.62078763;64.78237775;559.6;0.991081686;;
Santa Maria;SM15;Seagrass;Posidonia oceanica;64.78237775;65.93624081;604.9;0.932401932;3.946179335;1.6361401
Santa Maria;SM15;Seagrass;Posidonia oceanica;65.93624081;67.08274631;652.75;0.606289724;;
Santa Maria;SM15;Seagrass;Posidonia oceanica;67.08274631;68.22224609;700.7;0.758211326;3.064861012;1.3465294
Santa Maria;SM15;Seagrass;Posidonia oceanica;68.22224609;69.35507514;748.65;0.965719967;;
Santa Maria;SM15;Seagrass;Posidonia oceanica;69.35507514;70.48155246;796.6;1.00054966;3.612281758;1.2275258
Santa Maria;SM15;Seagrass;Posidonia oceanica;70.48155246;71.60198178;868.5666667;1.023980021;;
Santa Maria;SM15;Seagrass;Posidonia oceanica;71.60198178;72.7166523;940.75;0.977769004;2.972917939;1.3525285
Santa Maria;SM15;Seagrass;Posidonia oceanica;72.7166523;73.82583941;989.15;1.183256397;;
Santa Maria;SM15;Seagrass;Posidonia oceanica;73.82583941;74.92980531;1037.55;0.952179054;3.225806452;1.2713546
Santa Maria;SM15;Seagrass;Posidonia oceanica;74.92980531;76.02879968;1069.7;0.942507042;;
Santa Maria;SM15;Seagrass;Posidonia oceanica;76.02879968;77.12306025;1085.75;0.830314517;2.248690831;1.2370434
Santa Maria;SM15;Seagrass;Posidonia oceanica;77.12306025;78.21281339;1101.85;1.024104235;;
Santa Maria;SM15;Seagrass;Posidonia oceanica;78.21281339;79.29827464;1117.95;0.835836888;2.947175199;1.0673899
Santa Maria;SM15;Seagrass;Posidonia oceanica;79.29827464;80.37964922;1134.35;1.034724079;;
Santa Maria;SM15;Seagrass;Posidonia oceanica;80.37964922;81.45713256;1147.45;1.12444808;2.867198013;0.8896081
Santa Maria;SM15;Seagrass;Posidonia oceanica;81.45713256;82.53091074;1161.933333;0.873860531;;
Santa Maria;SM15;Seagrass;Posidonia oceanica;82.53091074;83.60116093;1176.5;1.014305142;2.99803577;1.0512361
Santa Maria;SM15;Seagrass;Posidonia oceanica;83.60116093;84.66805183;1186.2;0.891547634;;
Santa Maria;SM15;Seagrass;Posidonia oceanica;84.66805183;85.73174409;1195.6;0.512082053;2.806620746;1.0446061
