site;core;ecosystem;species;compresion;mind;maxd;dbd;om;oc;age
Sg_02;Sg_02_01;Seagrass;Posidonia oceanica;11.33;50;52;0.950391353;;;1456
Sg_02;Sg_02_01;Seagrass;Posidonia oceanica;11.33;52;54;1.171235968;4.106625198;2.575976041;1521
Sg_02;Sg_02_01;Seagrass;Posidonia oceanica;11.33;54;56;0.973454612;;;1585
Sg_02;Sg_02_01;Seagrass;Posidonia oceanica;11.33;56;58;1.125267234;3.526473222;;1649
Sg_02;Sg_02_01;Seagrass;Posidonia oceanica;11.33;58;60;1.083408915;;;1715
Sg_02;Sg_02_01;Seagrass;Posidonia oceanica;11.33;60;62;1.055523873;3.745260735;2.844475455;1781
Sg_02;Sg_02_01;Seagrass;Posidonia oceanica;11.33;62;64;1.050932081;;;1879
Sg_02;Sg_02_01;Seagrass;Posidonia oceanica;11.33;64;66;1.092544362;2.586962832;;1943
Sg_02;Sg_02_01;Seagrass;Posidonia oceanica;11.33;66;68;0.983560834;;;2008
Sg_02;Sg_02_01;Seagrass;Posidonia oceanica;11.33;68;70;1.009287707;2.291064985;;2072
Sg_02;Sg_02_01;Seagrass;Posidonia oceanica;11.33;70;72;1.719287904;;;2136
Sg_02;Sg_02_01;Seagrass;Posidonia oceanica;11.33;72;74;1.362569561;1.931640635;0.447571019;2200
Sg_02;Sg_02_01;Seagrass;Posidonia oceanica;11.33;74;76;1.175228715;;;2264
Sg_02;Sg_02_01;Seagrass;Posidonia oceanica;11.33;76;78;1.065483008;2.866695512;;2329
Sg_02;Sg_02_01;Seagrass;Posidonia oceanica;11.33;78;80;1.109903316;;;2392
Sg_02;Sg_02_01;Seagrass;Posidonia oceanica;11.33;80;82;1.30425888;3.25939364;2.538347063;2454
Sg_02;Sg_02_01;Seagrass;Posidonia oceanica;11.33;82;84;0.998060949;;;2522
Sg_02;Sg_02_01;Seagrass;Posidonia oceanica;11.33;84;86;1.207232197;3.287791734;;2595
Sg_02;Sg_02_01;Seagrass;Posidonia oceanica;11.33;86;88;1.418018728;;;2667
Sg_02;Sg_02_01;Seagrass;Posidonia oceanica;11.33;88;90;1.137213382;2.58795246;;2740
Sg_02;Sg_02_01;Seagrass;Posidonia oceanica;11.33;90;92;1.203033528;;;2849
Sg_02;Sg_02_01;Seagrass;Posidonia oceanica;11.33;92;94;1.239032431;1.835082653;0.777381197;2922
